Protein,peptides_used_old,median_k_old,sd_k_old,peptides_used_new,median_k_new,sd_k_new
ACADV_MOUSE,23,0.40209,0.3900049753234888,4,0.42074900796210857,0.047164151884710646
ACOX1_MOUSE,26,1.106655,0.453306484800804,20,0.6683300580546117,0.11130579450204381
ACSL1_MOUSE,29,0.34528,0.07695548835803491,6,0.2441456607875868,0.03420666103448338
ACTB_MOUSE,26,0.229815,0.08440348210461827,26,0.19564560645850504,0.032857228994900636
AL1A1_MOUSE,33,0.29151,0.0670552186676636,31,0.24311576425967799,0.030394006856922905
AL1L1_MOUSE,51,0.36497,0.08571634637204592,22,0.2781310474937161,0.041094071404916735
ALBU_MOUSE,40,0.29356000000000004,0.13066386080296225,27,0.3094067908573076,0.03349309796242017
ALDH2_MOUSE,29,0.53523,0.182058330023744,26,0.38636772356206306,0.08449884848258625
AMPL_MOUSE,28,0.28076500000000004,0.09208670588954358,16,0.1867987555935368,0.03667807097736178
ARLY_MOUSE,29,0.3151,0.18483969760734936,20,0.23775751111534776,0.04361856014672901
ASSY_MOUSE,26,0.276135,0.07253140015617639,23,0.23975133596290865,0.03810617589321547
ATPA_MOUSE,26,0.152755,0.211411525474697,16,0.19050196866052396,0.01951776328330562
ATPB_MOUSE,35,0.13552,0.03504387500397348,33,0.1328413390246854,0.01935202163941557
BHMT1_MOUSE,27,0.24869,0.0653704781639588,20,0.2341485508414019,0.022990201845453997
BIP_MOUSE,36,0.463405,0.17029282663894724,13,0.27629828274726065,0.05464888481065255
CATA_MOUSE,33,1.24563,0.2916265173180078,18,0.9383275671994971,0.12571275286726794
CH60_MOUSE,26,0.15413500000000002,0.05876483516918548,24,0.14309406838309308,0.023127370938257234
CLH1_MOUSE,35,0.18849,0.06407539207249298,33,0.15534926474380267,0.03034951909637434
DHE3_MOUSE,35,0.14805,0.2988524433556866,33,0.1743378037941889,0.026713409924245497
DHSO_MOUSE,28,0.26205999999999996,0.06133894624075251,26,0.12971265414315486,0.024666704204657653
ECHA_MOUSE,29,0.18913,2.2831806552387404,12,0.1768813135202574,0.0280982025186627
ECHP_MOUSE,24,0.359255,0.08351791835753188,21,0.2421813966025619,0.028831299586842468
EF2_MOUSE,25,0.44281,0.2569252572656102,15,0.307342703732854,0.061972336245230644
ENPL_MOUSE,35,0.445,0.18183037211513758,33,0.31708205396312206,0.09576284168035216
F16P1_MOUSE,30,0.34092,0.09293367337026957,29,0.22306270270105402,0.03272241564044678
FAS_MOUSE,63,0.57162,0.26963866039350115,45,0.42020204636745323,0.09911582580917946
G3P_MOUSE,31,0.22825,0.11521382624895647,10,0.25864794473733066,0.04041230835040894
GABT_MOUSE,24,0.20771,2.934732104381135,22,0.1932326473916845,0.03587521049741594
GRP75_MOUSE,24,0.39872,0.10365872395506687,24,0.2641481621045406,0.06781654485257192
GSTP1_MOUSE,24,0.213115,0.06574919346918125,22,0.10406950044654681,0.03108348184114181
HS90A_MOUSE,27,0.59138,0.22441943986023022,15,0.4290413597376137,0.0865247863571071
HS90B_MOUSE,24,0.548505,0.20658054085680094,17,0.33497366390857963,0.09752568212919951
HSP7C_MOUSE,26,0.5698,0.11616955074637839,22,0.3676897258042359,0.05272882319467863
HYES_MOUSE,43,0.33355,0.09155091018077328,43,0.278901648314954,0.05212842986962996
M2GD_MOUSE,33,0.15411,0.05330880083084525,30,0.1431108837362418,0.02698975892344825
MTP_MOUSE,30,0.362265,0.24958310168446257,23,0.2740716982702239,0.04400439611881373
MYH9_MOUSE,36,0.35965,0.14332879621916497,26,0.33887527347508317,0.05243532470366694
PDIA3_MOUSE,30,0.398,0.21239111577113046,4,0.23247106673159548,0.059814496599800086
PYC_MOUSE,42,0.19594,0.129629497714897,39,0.18774683592737598,0.062353219573552325
PYGL_MOUSE,32,0.171405,0.05688424632301902,29,0.15427627888552667,0.03249016641553075
SAHH_MOUSE,28,0.321875,0.0834213062590305,1,0.20145472381932325,NA
SARDH_MOUSE,31,0.13019,2.4860959303865835,28,0.15867510150853914,0.017315667845814047
SBP1_MOUSE,45,0.27133,0.10426337233083333,16,0.22517507018764948,0.02259677261128457
SCP2_MOUSE,25,1.0696,0.4265744531196557,3,0.42251479838996603,0.10538199537514602
SND1_MOUSE,23,0.2812,0.13350949593916103,16,0.2528862850374147,0.021212745877774986
THIKA_MOUSE,23,0.65844,2.9184885698936025,18,0.45641404103961186,0.06257382958569577
THIM_MOUSE,35,0.13869,1.8996880929949325,30,0.13455046020145017,0.0240685115565996
TKFC_MOUSE,26,0.304605,0.08819743007332165,2,0.24077074575907642,0.03298650629054226
TKT_MOUSE,25,0.1073,0.26333854814794333,24,0.08450361189762773,0.015239410025158549
UD11_MOUSE,23,0.30806,0.10305457943387324,12,0.2724300248444944,0.03258680746804816
